,id,athlete_id,name,distance,moving_time,elapsed_time,total_elevation_gain,type,achievement_count,kudos_count,average_speed,max_speed,average_cadence,average_watts,max_watts,weighted_average_watts,kilojoules,device_watts,has_heartrate,average_heartrate,max_heartrate,average_heartrate_sort,max_heartrate_sort,elev_high,elev_low,pr_count,suffer_score,date,date_sort,time,distance_f,moving_time_f,pace,start_lat,start_lng
68,10506085055,2.0,Lunch Walk,19097.7,14416,14974,191.0,Walk,0,7,1.325,2.05,50.9,n/a,n/a,n/a,n/a,n/a,1,109.8,138.0,109.8,138,53.4,6.2,0,44.0,06/01/2024,738891,11:50:58,19.10km,04:00:16,12:35/km,51.01462095044553,-0.37906939163804054
69,10499012434,2.0,Afternoon Run,5028.0,1416,1416,55.0,Run,0,7,3.551,5.102,80.4,399.2,557.0,399.0,565.3,1,1,176.9,187.0,176.9,187,55.0,22.8,0,86.0,05/01/2024,738890,14:21:43,5.03km,00:23:36,04:42/km,51.01458482444286,-0.37895346991717815
70,10486363313,2.0,Afternoon Run,5012.4,1280,1290,53.0,Run,0,9,3.916,5.266,82.3,448.5,594.0,447.0,574.1,1,1,172.5,188.0,172.5,188,57.8,23.8,0,66.0,03/01/2024,738888,15:19:27,5.01km,00:21:20,04:15/km,51.013832883909345,-0.37862397730350494
71,10430157149,2.0,Lunch Ride,37627.0,5245,8719,410.0,Ride,18,11,7.174,13.504,64.1,109.6,530.0,137.0,575.1,1,0,n/a,n/a,0.0,0,150.0,22.2,8,n/a,24/12/2023,738878,11:09:20,37.63km,01:27:25,25.8km/h,51.01466780528426,-0.3779763914644718
72,10419889058,2.0,Afternoon run,5006.8,1346,1346,47.5,Run,0,7,3.72,10.326,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,0.0,0,51.0,21.7,0,n/a,22/12/2023,738876,13:57:33,5.01km,00:22:26,04:29/km,51.01455967873335,-0.37900300696492195
73,10374501490,2.0,Afternoon run,7001.8,1939,1965,32.7,Run,8,8,3.611,7.16,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,0.0,0,27.3,4.1,2,n/a,13/12/2023,738867,15:23:35,7.00km,00:32:19,04:37/km,51.4568854495883,-0.2149325329810381
74,10337621469,2.0,Lunch run,5015.8,1324,1324,48.3,Run,0,6,3.788,5.6,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,0.0,0,50.9,21.7,0,n/a,06/12/2023,738860,13:04:10,5.02km,00:22:04,04:24/km,51.01460468955338,-0.37892019376158714
75,10301526184,2.0,Afternoon run,5052.5,1481,1481,48.4,Run,0,4,3.412,5.024,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,0.0,0,50.9,21.7,0,n/a,29/11/2023,738853,15:47:17,5.05km,00:24:41,04:53/km,51.014638636261225,-0.37909990176558495
76,10268736296,2.0,Afternoon run,7252.6,1872,1872,24.8,Run,11,6,3.874,5.456,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,0.0,0,27.7,3.6,1,n/a,23/11/2023,738847,14:58:03,7.25km,00:31:12,04:18/km,51.45685871131718,-0.21437362767755985
77,10257186586,2.0,Afternoon run,5141.4,1340,1340,28.6,Run,6,5,3.837,6.64,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,0.0,0,29.8,4.2,5,n/a,21/11/2023,738845,14:59:05,5.14km,00:22:20,04:21/km,51.45693632774055,-0.21485189907252789
78,10234379140,2.0,Afternoon run,7012.7,1667,1667,34.2,Run,13,9,4.207,7.28,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,0.0,0,27.7,4.2,8,n/a,17/11/2023,738841,14:31:35,7.01km,00:27:47,03:58/km,51.45688788034022,-0.215011490508914
79,10222991694,2.0,Lunch run,5013.4,1226,1226,47.9,Run,1,4,4.089,6.67,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,0.0,0,50.9,21.7,0,n/a,15/11/2023,738839,13:53:26,5.01km,00:20:26,04:05/km,51.01451341062784,-0.37917123176157475
80,10210856452,2.0,Lunch run,7770.4,2041,2041,66.9,Run,1,4,3.807,7.04,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,0.0,0,54.8,27.6,0,n/a,13/11/2023,738837,12:22:28,7.77km,00:34:01,04:23/km,51.01459831930697,-0.37876781076192856
